chiN 	 alphaN 
65	65 
chi	alpha	amp	phase
0.000000000000000e+00 0.000000000000000e+00 8.517745492507652e-11 9.407468834724362e-01
0.000000000000000e+00 1.562500000000000e-02 8.508236344922225e-11 9.153461137292971e-01
0.000000000000000e+00 3.125000000000000e-02 8.476189224976218e-11 8.405836963704268e-01
0.000000000000000e+00 4.687500000000000e-02 8.411868397115698e-11 7.204707112087858e-01
0.000000000000000e+00 6.250000000000000e-02 8.301579129915899e-11 5.607952732890837e-01
0.000000000000000e+00 7.812500000000000e-02 8.130782993799357e-11 3.681487685672713e-01
0.000000000000000e+00 9.375000000000000e-02 7.887305955867334e-11 1.490696576487685e-01
0.000000000000000e+00 1.093750000000000e-01 7.563914655918009e-11 -9.053445455574817e-02
0.000000000000000e+00 1.250000000000000e-01 7.159783749009852e-11 -3.456740291309012e-01
0.000000000000000e+00 1.406250000000000e-01 6.680728664528512e-11 -6.123497752266673e-01
0.000000000000000e+00 1.562500000000000e-01 6.138398772254584e-11 -8.875078279333963e-01
0.000000000000000e+00 1.718750000000000e-01 5.548813283857348e-11 -1.168959464444456e+00
0.000000000000000e+00 1.875000000000000e-01 4.930647640646182e-11 -1.455318980361397e+00
0.000000000000000e+00 2.031250000000000e-01 4.303583991604687e-11 -1.745989899308475e+00
0.000000000000000e+00 2.187500000000000e-01 3.686901986596871e-11 -2.041216297994546e+00
0.000000000000000e+00 2.343750000000000e-01 3.098372365387861e-11 -2.342211623853613e+00
0.000000000000000e+00 2.500000000000000e-01 2.553456254642873e-11 -2.651374695986754e+00
0.000000000000000e+00 2.656250000000000e-01 2.064798485006045e-11 -2.972580901159582e+00
0.000000000000000e+00 2.812500000000000e-01 1.641994977333237e-11 -3.311437949839307e+00
0.000000000000000e+00 2.968750000000000e-01 1.291550282218254e-11 -3.675078057967161e+00
0.000000000000000e+00 3.125000000000000e-01 1.016737840772191e-11 -4.070325164146397e+00
0.000000000000000e+00 3.281250000000000e-01 8.167429461396828e-12 -4.498389888154767e+00
0.000000000000000e+00 3.437500000000000e-01 6.846665206554039e-12 -4.946857768847574e+00
0.000000000000000e+00 3.593750000000000e-01 6.061120541867012e-12 -5.388457022922544e+00
0.000000000000000e+00 3.750000000000000e-01 5.620548802126905e-12 -5.795034772964945e+00
0.000000000000000e+00 3.906250000000000e-01 5.352229727283241e-12 -6.152404662088014e+00
0.000000000000000e+00 4.062500000000000e-01 5.141996992374521e-12 -6.460213106021982e+00
0.000000000000000e+00 4.218750000000000e-01 4.932675842922569e-12 -6.724067517423934e+00
0.000000000000000e+00 4.375000000000000e-01 4.704161285217236e-12 -6.950045468553268e+00
0.000000000000000e+00 4.531250000000000e-01 4.455217520884590e-12 -7.142832230979210e+00
0.000000000000000e+00 4.687500000000000e-01 4.192050258727985e-12 -7.305644954799050e+00
0.000000000000000e+00 4.843750000000000e-01 3.922367813138346e-12 -7.440689219818115e+00
0.000000000000000e+00 5.000000000000000e-01 3.652781886322153e-12 -7.549652683646476e+00
0.000000000000000e+00 5.156250000000000e-01 3.387968044520152e-12 -7.634085962446969e+00
0.000000000000000e+00 5.312500000000000e-01 3.130646091576797e-12 -7.695640553240178e+00
0.000000000000000e+00 5.468750000000000e-01 2.881895401155006e-12 -7.736173470085665e+00
0.000000000000000e+00 5.625000000000000e-01 2.641591958576929e-12 -7.757744866589407e+00
0.000000000000000e+00 5.781250000000000e-01 2.408885623922681e-12 -7.762543949321048e+00
0.000000000000000e+00 5.937500000000000e-01 2.182677446302271e-12 -7.752781626978571e+00
0.000000000000000e+00 6.093750000000000e-01 1.962055578248044e-12 -7.730584301143560e+00
0.000000000000000e+00 6.250000000000000e-01 1.746641150417590e-12 -7.697912595334242e+00
0.000000000000000e+00 6.406250000000000e-01 1.536800971336181e-12 -7.656515245766441e+00
0.000000000000000e+00 6.562500000000000e-01 1.333703724444391e-12 -7.607916534685509e+00
0.000000000000000e+00 6.718750000000000e-01 1.139222743544652e-12 -7.553428617330875e+00
0.000000000000000e+00 6.875000000000000e-01 9.557127607813095e-13 -7.494178191212112e+00
0.000000000000000e+00 7.031250000000000e-01 7.857049815776943e-13 -7.431138529834043e+00
0.000000000000000e+00 7.187500000000000e-01 6.315728986308840e-13 -7.365160857868725e+00
0.000000000000000e+00 7.343750000000000e-01 4.952209618935380e-13 -7.297001879721205e+00
0.000000000000000e+00 7.500000000000000e-01 3.778408311990060e-13 -7.227346321619225e+00
0.000000000000000e+00 7.656250000000000e-01 2.797669392287051e-13 -7.156824541240147e+00
0.000000000000000e+00 7.812500000000000e-01 2.004463223352853e-13 -7.086025803445442e+00
0.000000000000000e+00 7.968750000000000e-01 1.385195009230782e-13 -7.015507967553464e+00
0.000000000000000e+00 8.125000000000000e-01 9.199239874743240e-14 -6.945804278226934e+00
0.000000000000000e+00 8.281250000000000e-01 5.846666034091018e-14 -6.877427821932287e+00
0.000000000000000e+00 8.437500000000000e-01 3.538941225975760e-14 -6.810874068228372e+00
0.000000000000000e+00 8.593750000000000e-01 2.028447922048154e-14 -6.746621786477790e+00
0.000000000000000e+00 8.750000000000000e-01 1.093476665953888e-14 -6.685132520389580e+00
0.000000000000000e+00 8.906250000000000e-01 5.497974110860379e-15 -6.626848712302571e+00
0.000000000000000e+00 9.062500000000000e-01 2.552046689932995e-15 -6.572190489930797e+00
0.000000000000000e+00 9.218750000000000e-01 1.079604062337481e-15 -6.521551052783734e+00
0.000000000000000e+00 9.375000000000000e-01 4.093875472121324e-16 -6.475290515021611e+00
0.000000000000000e+00 9.531250000000000e-01 1.361534936204774e-16 -6.433727965400321e+00
0.000000000000000e+00 9.687500000000000e-01 3.855798452585614e-17 -6.397131377853671e+00
0.000000000000000e+00 9.843750000000000e-01 8.920091871144275e-18 -6.365704823105443e+00
0.000000000000000e+00 1.000000000000000e+00 1.586054908920292e-18 -6.339572146986554e+00
1.562500000000000e-02 0.000000000000000e+00 8.512072240891775e-11 9.250892773950106e-01
1.562500000000000e-02 1.562500000000000e-02 8.502175817309548e-11 8.998372284452111e-01
1.562500000000000e-02 3.125000000000000e-02 8.469022461161805e-11 8.255019017084483e-01
1.562500000000000e-02 4.687500000000000e-02 8.403032777305028e-11 7.060430520259621e-01
1.562500000000000e-02 6.250000000000000e-02 8.290740249068190e-11 5.471797147554351e-01
1.562500000000000e-02 7.812500000000000e-02 8.117865975618014e-11 3.554325613535848e-01
1.562500000000000e-02 9.375000000000000e-02 7.872483961454150e-11 1.372795160569890e-01
1.562500000000000e-02 1.093750000000000e-01 7.547561885935447e-11 -1.014168042182316e-01
1.562500000000000e-02 1.250000000000000e-01 7.142407034120701e-11 -3.556962827558893e-01
1.562500000000000e-02 1.406250000000000e-01 6.662893865153183e-11 -6.215764829077380e-01
1.562500000000000e-02 1.562500000000000e-01 6.120665627097357e-11 -8.960117700245299e-01
1.562500000000000e-02 1.718750000000000e-01 5.531686818267069e-11 -1.176816671505828e+00
1.562500000000000e-02 1.875000000000000e-01 4.914548269842962e-11 -1.462606602316233e+00
1.562500000000000e-02 2.031250000000000e-01 4.288834035847872e-11 -1.752786113317721e+00
1.562500000000000e-02 2.187500000000000e-01 3.673724279775270e-11 -2.047601649612268e+00
1.562500000000000e-02 2.343750000000000e-01 3.086896663719803e-11 -2.348271416891683e+00
1.562500000000000e-02 2.500000000000000e-01 2.543730269837007e-11 -2.657202052640017e+00
1.562500000000000e-02 2.656250000000000e-01 2.056801519775972e-11 -2.978279443391455e+00
1.562500000000000e-02 2.812500000000000e-01 1.635652469992810e-11 -3.317120601441392e+00
1.562500000000000e-02 2.968750000000000e-01 1.286746336902850e-11 -3.680852250273135e+00
1.562500000000000e-02 3.125000000000000e-01 1.013319709993318e-11 -4.076245469705261e+00
1.562500000000000e-02 3.281250000000000e-01 8.145102154366256e-12 -4.504368825336022e+00
1.562500000000000e-02 3.437500000000000e-01 6.833536547639264e-12 -4.952608514104423e+00
1.562500000000000e-02 3.593750000000000e-01 6.054072594938957e-12 -5.393618613526916e+00
1.562500000000000e-02 3.750000000000000e-01 5.616748411205527e-12 -5.799403292040192e+00
1.562500000000000e-02 3.906250000000000e-01 5.349762216470108e-12 -6.155988814730688e+00
1.562500000000000e-02 4.062500000000000e-01 5.139881062495635e-12 -6.463126616569891e+00
