chiN	alphaN
65	65
chi	alpha	amp	phase
0.	0.	3.7168462919307e-6	-2.5713835776268
0.	0.015625	3.7072675156743e-6	-2.6394732798899
0.	0.03125	3.6788098322196e-6	-2.84011232292902
0.	0.046875	3.6322310626166e-6	-3.16303483260249
0.	0.0625	3.5684678613069e-6	-3.59298607197279
0.	0.078125	3.4880521416404e-6	-4.11186693626589
0.	0.09375	3.3904304173304e-6	-4.70085232251349
0.	0.109375	3.2736380344445e-6	-5.34214244475159
0.	0.125	3.1347325420755e-6	-6.02018639324936
0.	0.140625	2.9709792300966e-6	-6.72233894405083
0.	0.15625	2.7813260114768e-6	-7.43901031948449
0.	0.171875	2.5675521687978e-6	-8.16345014588909
0.	0.1875	2.3346753347003e-6	-8.89133648462949
0.	0.203125	2.0905465127577e-6	-9.62030576425687
0.	0.21875	1.8448367865025e-6	-10.349485239519
0.	0.234375	1.6077334622207e-6	-11.0790075545688
0.	0.25	1.3886379906542e-6	-11.8094155425699
0.	0.265625	1.1950563062923e-6	-12.540830536418
0.	0.28125	1.0317669870872e-6	-13.2718340155118
0.	0.296875	9.0031741019684e-7	-13.9983131906499
0.	0.3125	7.9896469178653e-7	-14.7129826243541
0.	0.328125	7.2323552475908e-7	-15.4063536326201
0.	0.34375	6.6710055083076e-7	-16.068979717202
0.	0.359375	6.2436926380967e-7	-16.6936088692728
0.	0.375	5.8974683475567e-7	-17.276011375622
0.	0.390625	5.5928167188244e-7	-17.8145198149872
0.	0.40625	5.3032490700387e-7	-18.3090889454662
0.	0.421875	5.0126930816954e-7	-18.7605007267756
0.	0.4375	4.7126392308827e-7	-19.1698915990232
0.	0.453125	4.3998483968392e-7	-19.5385335477357
0.	0.46875	4.0747017840817e-7	-19.8677561565733
0.	0.484375	3.7400186745803e-7	-20.1589299063579
0.	0.5	3.400160516598e-7	-20.4134694753962
0.	0.515625	3.0603100757672e-7	-20.6328400905698
0.	0.53125	2.7258801085751e-7	-20.8185615622907
0.	0.546875	2.4020434793374e-7	-20.9722089553924
0.	0.5625	2.0933881731711e-7	-21.0954099959239
0.	0.578125	1.8036964227696e-7	-21.1898394773631
0.	0.59375	1.5358369731986e-7	-21.2572110066861
0.	0.609375	1.2917501169027e-7	-21.2992666434488
0.	0.625	1.0724999682225e-7	-21.3177652701917
0.	0.640625	8.7836829441503e-8	-21.3144707530965
0.	0.65625	7.0896810753698e-8	-21.2911410007798
0.	0.671875	5.6336135362786e-8	-21.2495188734162
0.	0.6875	4.4017154004323e-8	-21.1913255726767
0.	0.703125	3.3768757057735e-8	-21.1182567423199
0.	0.71875	2.5395864128856e-8	-21.0319811238364
0.	0.734375	1.8688165956789e-8	-20.9341413139176
0.	0.75	1.342826495185e-8	-20.8263559948351
0.	0.765625	9.3992607169044e-9	-20.7102229482228
0.	0.78125	6.391691731007e-9	-20.5873222022484
0.	0.796875	4.2096283539258e-9	-20.4592187352301
0.	0.8125	2.6756508836444e-9	-20.3274642759373
0.	0.828125	1.6344558310572e-9	-20.1935978236119
0.	0.84375	9.5491111720241e-10	-20.0591445915339
0.	0.859375	5.3051013434203e-10	-19.9256131106492
0.	0.875	2.7832904519772e-10	-19.7944902397597
0.	0.890625	1.3674121496973e-10	-19.6672337974195
0.	0.90625	6.225836940704e-11	-19.5452624648255
0.	0.921875	2.5928248088403e-11	-19.4299425020688
0.	0.9375	9.71266322154e-12	-19.3225706597418
0.	0.953125	3.2012457541533e-12	-19.2243534957257
0.	0.96875	9.0105725365378e-13	-19.1363749664639
0.	0.984375	2.077206657858e-13	-19.059569582869
0.	1.	3.6886150421414e-14	-18.9946704854213
0.015624999999856	0.	3.7114708710171e-6	-2.6139203024379
0.015624999999856	0.015625	3.7018967250845e-6	-2.68162618885069
0.015624999999856	0.03125	3.6734545512692e-6	-2.88115360553262
0.015624999999856	0.046875	3.62690090480971e-6	-3.20234548761584
0.015624999999856	0.0625	3.563156899273e-6	-3.63009885695476
0.015624999999856	0.078125	3.4827222714361e-6	-4.14648038412329
0.015624999999856	0.09375	3.385009003593e-6	-4.73282225323689
0.015624999999856	0.109375	3.2680390908148e-6	-5.37145946604868
0.015624999999856	0.125	3.1288941957335e-6	-6.04694597754112
0.015624999999856	0.140625	2.9648988914003e-6	-6.74670912414748
0.015624999999856	0.15625	2.7750767967281e-6	-7.46120150607639
0.015624999999856	0.171875	2.5612754797943e-6	-8.18369051136969
0.015624999999856	0.1875	2.3285554295514e-6	-8.90985430957629
0.015624999999856	0.203125	2.0847777254451e-6	-9.63731801068457
0.015624999999856	0.21875	1.8395930700516e-6	-10.3651902168179
0.015624999999856	0.234375	1.6031460969106e-6	-11.0935789725914
0.015624999999856	0.25	1.3847832104297e-6	-11.8229953742892
0.015624999999856	0.265625	1.191951702658e-6	-12.5535193544015
0.015624999999856	0.28125	1.0293745475291e-6	-13.2836809487109
0.015624999999856	0.296875	8.9855204069453e-7	-14.00931334335
0.015624999999856	0.3125	7.977087293587e-7	-14.7230922378882
0.015624999999856	0.328125	7.2235894901664e-7	-15.4155232526949
0.015624999999856	0.34375	6.6648224260707e-7	-16.0771877642548
0.015624999999856	0.359375	6.2391185812941e-7	-16.7008755412815
0.015624999999856	0.375	5.8938132819828e-7	-17.2823910937721
0.015624999999856	0.390625	5.5896408532704e-7	-17.8200851288901
0.015624999999856	0.40625	5.3002979650944e-7	-18.3139171050809
0.015624999999856	0.421875	5.0098356561425e-7	-18.7646661879879
0.015624999999856	0.4375	4.70982140355e-7	-19.1734630948874
0.015624999999856	0.453125	4.3970620983842e-7	-19.54157357099
0.015624999999856	0.46875	4.0719649709936e-7	-19.8703213898137
0.015624999999856	0.484375	3.7373622678714e-7	-20.1610718832115
0.015624999999856	0.5	3.3976196220875e-7	-20.4152352030798
0.015624999999856	0.515625	3.0579180584419e-7	-20.6342725661255
0.015624999999856	0.53125	2.7236647966234e-7	-20.8197001853931
0.015624999999856	0.546875	2.4000250739954e-7	-20.9730898568022
0.015624999999856	0.5625	2.0915785210465e-7	-21.0960663000218
