chiN	alphaN
65	65
chi	alpha	amp	phase
0.	0.	0.00001560939153361	1.2641867570498
0.	0.015625	0.000015600606249074	1.1523553379545
0.	0.03125	0.00001557359607872	0.823475216704442
0.	0.046875	0.000015523632125008	0.29609894940708
0.	0.0625	0.000015436000003529	-0.40270306391965
0.	0.078125	0.000015282304673485	-1.2417614096378
0.	0.09375	0.000015023205521837	-2.1899356994208
0.	0.109375	0.000014617504666947	-3.21905622625309
0.	0.125	0.000014033684275765	-4.30543955117979
0.	0.140625	0.000013259275337844	-5.43026098659568
0.	0.15625	0.000012305330519082	-6.57925506751382
0.	0.171875	0.000011205665055688	-7.74214074905449
0.	0.1875	0.00001001205879851	-8.91200015275469
0.	0.203125	8.7871286900855e-6	-10.0846803772537
0.	0.21875	7.5964361320607e-6	-11.2581496249252
0.	0.234375	6.5008919101571e-6	-12.4315991514394
0.	0.25	5.5498601283575e-6	-13.6039736672361
0.	0.265625	4.7748942718017e-6	-14.7717662731216
0.	0.28125	4.1845437862383e-6	-15.9267632487688
0.	0.296875	3.76260220306e-6	-17.0557192324823
0.	0.3125	3.4732067451169e-6	-18.1434931866546
0.	0.328125	3.2723830783363e-6	-19.1777675753341
0.	0.34375	3.1198724000647e-6	-20.1515675623568
0.	0.359375	2.9854970056361e-6	-21.0625871658264
0.	0.375	2.8498005151129e-6	-21.9112199090376
0.	0.390625	2.7019117595574e-6	-22.6989753632237
0.	0.40625	2.5370636027296e-6	-23.4276632461945
0.	0.421875	2.35468568888e-6	-24.0990951881737
0.	0.4375	2.1570866029825e-6	-24.7150192262229
0.	0.453125	1.9484904033382e-6	-25.2771273429037
0.	0.46875	1.7342428821708e-6	-25.7870739673431
0.	0.484375	1.520113322867e-6	-26.246490205595
0.	0.5	1.311693546356e-6	-26.6569942573855
0.	0.515625	1.1139237761726e-6	-27.0202009275175
0.	0.53125	9.3076959005818e-7	-27.337731793275
0.	0.546875	7.6505482782995e-7	-27.6112260692631
0.	0.5625	6.1843515434193e-7	-27.84235140392
0.	0.578125	4.9148281627272e-7	-28.032813664937
0.	0.59375	3.8384683545314e-7	-28.1843649582434
0.	0.609375	2.9445347128205e-7	-28.2988094559822
0.	0.625	2.2171705846987e-7	-28.3780069526964
0.	0.640625	1.6373893041946e-7	-28.4238743523835
0.	0.65625	1.1848012612663e-7	-28.4383854830171
0.	0.671875	8.3900646813353e-8	-28.423569726402
0.	0.6875	5.806350867122e-8	-28.381509948359
0.	0.703125	3.9205581018865e-8	-28.3143401363199
0.	0.71875	2.577939145805e-8	-28.2242430206534
0.	0.734375	1.6471077031604e-8	-28.1134478082161
0.	0.75	1.0199846903706e-8	-27.984228007193
0.	0.765625	6.1040264088703e-9	-27.8388991936608
0.	0.78125	3.5182085346209e-9	-27.6798164810643
0.	0.796875	1.9453890183126e-9	-27.5093713764422
0.	0.8125	1.0272756829118e-9	-27.329987672438
0.	0.828125	5.1527171390218e-10	-27.1441159939809
0.	0.84375	2.439516064764e-10	-26.9542265967636
0.	0.859375	1.0819500948251e-10	-26.7627999710349
0.	0.875	4.4543946485174e-11	-26.5723147795309
0.	0.890625	1.6835043398174e-11	-26.3852325548762
0.	0.90625	5.7609621124635e-12	-26.203978484465
0.	0.921875	1.7542254860918e-12	-26.0309174164677
0.	0.9375	4.6482398655105e-13	-25.8683239815727
0.	0.953125	1.0407478545175e-13	-25.7183453416409
0.	0.96875	1.892265905333e-14	-25.5829544880123
0.	0.984375	2.6422248744384e-15	-25.4638911973119
0.	1.	2.610769929758e-16	-25.362586276827
0.015624999999856	0.	0.000015606632173125	1.1942585953569
0.015624999999856	0.015625	0.000015597693460022	1.08312570802991
0.015624999999856	0.03125	0.000015570066760914	0.756259705797233
0.015624999999856	0.046875	0.000015518653743558	0.231988959377959
0.015624999999856	0.0625	0.000015428400838696	-0.462929734519971
0.015624999999856	0.078125	0.000015270851103313	-1.2976627293476
0.015624999999856	0.09375	0.000015006984557794	-2.2413689144045
0.015624999999856	0.109375	0.000014596223685185	-3.26610726947449
0.015624999999856	0.125	0.000014007774597958	-4.34834549260199
0.015624999999856	0.140625	0.000013229801391376	-5.46934399570229
0.015624999999856	0.15625	0.000012273777725777	-6.61487476189361
0.015624999999856	0.171875	0.000011173690067526	-7.77466370281998
0.015624999999856	0.1875	9.9812626018232e-6	-8.94178182573818
0.015624999999856	0.203125	8.7588839140218e-6	-10.1120538937141
0.015624999999856	0.21875	7.5717763170554e-6	-11.283415699228
